Date Published,Rating,Best Rating,Author,Review,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Aircraft
2025-08-15,4,10,Neeru Pahwa,"Not Verified |   I had a flight from Paris to San Francisco and my seat wouldn’t recline. When I asked them to change my seat they refuse to do so as they were no vacant seat in economy. On my flight back same thing happened. The cabin crew were unfriendly and cold to me. They served 1 full meal and the snack box was not worth my eating it. When I reached my destination, one of my suitcase was left behind which I received after 2 days. I was not given any compensation.",Solo Leisure,Economy Class,Delhi to San Francisco via Paris,July 2025,1.0,2.0,2.0,2.0,3.0,4.0,2,No,
2025-08-08,8,10,M Darlene,"✅ Trip Verified | Friendly and attentive staff, good legroom, good meal tray and the glass of champagne before takeoff in economy class: a real plus! A pleasant experience that I recommend. Personnel gentil et attentionné, bon espace pour les jambes, plateau repas bon et la coupe de champagne avant le décollage en classe éco : un vrai plus ! Une expérience agréable que je recommande.",Family Leisure,Economy Class,Paris to Los Angeles,May 2025,4.0,5.0,5.0,5.0,5.0,,4,Yes,Boeing 777-300ER
2025-08-04,2,10,C Hashir,"✅ Trip Verified |  First, my flight from Toronto to Stockholm was cancelled due to the ATC strike on July 4th. On my arrival at Pearson Airport in Toronto, I was informed that my flight had been cancelled. They booked me on another flight on July 5th. So, I will arrive in Stockholm on July 6th instead of 5th.  I had no choice but to agree to what Air France customer service offered. My return flight to Toronto was a nightmare from start to end. The boarding process was slow and started 15 minutes after the indicated time on the boarding pass. After sitting, I noticed the seat had tight legroom. I had a food allergy and asked for a gluten-free meal. The crew were friendly and understanding, and they were kind for the entire flight. My experience with Air France was not what I was expecting.",Solo Leisure,Economy Class,Paris to Toronto,July 2025,1.0,4.0,1.0,2.0,1.0,1.0,1,No,Boeing 777-300ER
2025-07-19,10,10,H Lee,✅ Trip Verified |   Amazing journey with Air France. The aircraft was new and the seat offered both privacy and comfort. The crew has been attentive and caring. Free wifi for texting is an advantage as well.,Solo Leisure,Business Class,Paris to Hong Kong,June 2025,5.0,5.0,5.0,5.0,5.0,5.0,4,Yes,A359
2025-07-03,1,10,Irina Romanova,"Not Verified |  During the 11-hour flight, the onboard service was extremely limited. Our five suitcases were lost. At CDG Airport, we were assured they would be returned within a few days. A week later, since nothing had arrived, we contacted the lost baggage service again. They told us our luggage had been sent to another country and would be returned soon. Another week passed, and after sending several registered letters, emails, phone calls, and official claims, we kept receiving the same promise: “your luggage will arrive any moment.” Imagine our shock when, three weeks later, we went back to Charles de Gaulle Airport and were told by staff that they had no idea what we were talking about or where our baggage was.",Family Leisure,Economy Class,Mexico to Paris,June 2025,2.0,4.0,1.0,,1.0,,2,No,
2025-06-30,9,10,Mark Zambelli,"Not Verified |  The food was great and the seat comfort was superb. The cabin crew were attentive. The entertainment system was OK but not a big selection in English. While on the ground upon boarding, the toilet was a mess and seemed like it wasn’t clean before boarding passengers.",Solo Leisure,Economy Class,Paris to Hong Kong,June 2025,5.0,5.0,5.0,3.0,5.0,,5,Yes,A350
2025-06-19,1,10,Elyssa Techini,"Not Verified |    Air France has really gone downhill. You have to pay for everything: seat selection, even when you're flying with your family, carry-on luggage (which must be under 18 inches including wheels and handle), and your first checked bag. Customer service? Abysmal. You wait forever just to be told you need to pay more. The food is worse than what you'd find on the worst U.S. airline—which is saying something. And despite all this, it’s not a budget ticket. It’s expensive. The only thing still going for Air France is the name—France. And I love my country. But this airline is doing it no justice. On a recent overnight flight, they didn’t even have blankets for every passenger.",Family Leisure,Economy Class,New York to Paris,June 2025,1.0,1.0,2.0,3.0,1.0,,1,No,Boeing 777
2025-06-19,4,10,R Warten,"✅ Trip Verified |   I had a not so nice trip with Air France from Edinburgh to Johannesburg. The flight from Edinburgh to Paris was okay, with only slight late departure. Once landed, I headed to the correct terminal according to the display screens to catch my connecting flight to Johannesburg. Then after an hour, they suddenly put a changed terminal on the display screens and I had to rush to get to another terminal and go through security for a second time. After I had for something to eat and did a bit of shopping, I went to sit by the seats next to the gate, only to find that the display screen screen was showing the flight as delayed, but with no other information and no customer service to assist. Then when checking their website, as their app did not have an update, it said the flight was cancelled. With no customer service staff around, I headed the the security section, where they said I had to go on a long walk to the main customer service desks far away. Then I was told that they had another flight that leaves the next morning, over 12 hours later than the original flight was supposed to take off. Got given a voucher for an overnight hotel stay, a €15 food voucher, directions to catch a shuttle to get to the hotel, a water bottle and a pack with a white tshirt and tooth brush. I was told that I could apply for compensation for the missed flight on the Air France website and also claim from them for costs associated with my missing a connecting flight in Johannesburg with airline and a hotel stay due to the late night arrival time of the replacement flight. €15 does not even buy an adult sized McDonald's meal at the airport. I laer found out that I was misinformed about them reimbursing my extra costs, which is bad customer service. I only managed to get 2.5 hours sleep at the hotel due to a very early shuttle bus to catch the early flight and loud noise from rain hitting the hotel's outside panelling. The replacement flight from Paris to Johannesburg was also about 30 minutes late to depart. The return flight from Johannesburg to Paris was 1 hour late to depart. The return flight from Paris to Edinburgh was 30 minutes late to depart. In terms of cabin experience, I was far from impressed. I found the economy class seats to be very narrow, my food was not very impressive in terms of quality, nor quantity either. Some alcohol was offered on the first flight  - champagne or red/white wine. No alcohol was offered to me on the return trip. I noticed that French speaking passengers got offered all drink types (champagne, red/white wine or beer) and various cognac bottles, which felt unfair. Very little water provided outside of the two supplied meals on the flights, in fact only a very small cup of water twice during the night on a 12 hour flight. No details of any other food and drink offerings were mentioned by the staff or on any in flight information. I could have done with a lot more food and drink on this long flight with very dry air inside the cabin. The food was mainly carbs as well. I got given a choice of chicken or pasta for the main meals. Very little chicken in the main dish and very little sauce too. This came with a bottle of water, juice, a small roll with butter and cheese, a portion of vegetables, a pack of French style bagels and a forgettable little desert that tasted of dry lemon cake. A meal fit for a child in my opinion",Solo Leisure,Economy Class,Edinburgh to Johannesburg via Paris,June 2025,2.0,2.0,1.0,3.0,1.0,,3,No,Boeing 777-300
2025-06-18,5,10,R Stack,"Not Verified | Returning from Paris, our flight was diverted from EWR to YUL due to weather in the New York area. The flight crew kept us informed and the cabin crew could not have been nicer. Unfortunately, the AF station in Montreal was overwhelmed by the unexpected influx of pax. They were not very skilled at managing the crowd. They had close to two hours before we arrived to get it together, and we were kept on the plane for almost two hours after we landed. A flight attendant near us looked at her watch and said, ""Uh oh, we time out at 7. They deplaned us at 6.55. After 2.5 hrs in line we got our food and hotel vouchers. We were assigned an Embassy Suites, and other pax got equally good hotels. The kicker was the next morning when we asked the hotel staff what we could do until our afternoon flight back to Newark. ""Not much,"" they said, ""It's Canada Day.""",Couple Leisure,Economy Class,Paris to Newark,July 2024,3.0,5.0,4.0,4.0,1.0,,3,Yes,Boeing 777
2025-06-14,1,10,D Meng,"✅ Trip Verified |   Air France is probably the closest example of how bad an airline can get. I took 4 flights with them and 2 were late and the other 2 cancelled due to operation inadequacies. Even after the flight was cancelled, passengers were made to wait at a disembarkation room with no staff to provide information. When asked to assist with transferring to an earlier flight, ground staff said it can't be done and insisted on taking the alternative flight 17 hours later or we would be liable for whatever issues may arise from our alternative arrangements.",Business,Economy Class,Lyon to Singapore via Paris,June 2025,1.0,1.0,1.0,,1.0,,1,No,
2025-06-08,1,10,Egill Sæbjörnsson,"✅ Trip Verified |   Air France weighs Cabin Bag and rucksack. I had to pay 70 eur extra, which is not a problem, but to be treated this way was a bad experience.",Couple Leisure,Economy Class,Paris to Berlin,June 2025,1.0,3.0,1.0,,1.0,,1,No,
2025-06-08,1,10,Suyeon Hwang,"✅ Trip Verified |   Worst ground service I’ve experienced. At Vienna Airport, I asked the agent to check my luggage through to Incheon. They said “No problem,” but then tagged my bag to Paris CDG without informing me. Now I will be forced to collect and recheck my luggage at CDG, which defeats the purpose of choosing this itinerary. At the bag drop line I queued under a large Air France sign indicating the correct line. Without any announcement or guidance, staff suddenly 1turned off the sign — and when we reached the counter, they blamed us for being in the wrong line. I am not blind; everyone in that line was clearly following the Air France sign that was up when we queued. The staff made zero effort to inform or redirect passengers at the time — then acted as if it was our fault. This was insulting and unprofessional.",Business,Economy Class,Vienna to Paris CDG,June 2025,,,,,1.0,,1,No,
2025-05-23,3,10,N Horton,"✅ Trip Verified |   Our return flight from Tahiti was delayed more than 24 hours due to an issue on Air France’s end. The delay required us to stay in Tahiti for an extra day, so we had to pay out of pocket for another hotel night, food, and transportation, which isn’t cheap. Air France reimbursed us for less than a third of the total cost, with no explanation, even though this clearly falls under the Montreal Convention. When we were told about the cancellation, we were told to go to the Air France desk at LAX to file a claim. But when we did, the person there just handed us a card with an 800 number and told us to call. No help, no effort, and totally different from what we were told earlier. We had also paid to upgrade our seats, but the Wi-Fi didn’t work at all on the return flight. It was just one more thing that added to how disorganized the whole experience felt. For an airline of this size, the lack of accountability was really disappointing",Couple Leisure,Premium Economy,Papeete to Los Angeles,April 2025,4.0,4.0,2.0,3.0,4.0,2.0,3,No,
2025-05-15,8,10,S Gere,"✅ Trip Verified |   A really enjoyable flight. Champagne on boarding, good IFE with proper noise cancelling headphones, and free wifi for messaging. The flight was slightly late arriving because of having to avoid overflying Niger, but Air France were proactive in sending info about my connection, fast track security pass, even sent me a meal voucher in case I missed my connection. Made my connection with time to spare.",Solo Leisure,Premium Economy,Johannesburg to Frankfurt via Paris,May 2025,4.0,4.0,4.0,4.0,5.0,5.0,4,Yes,Boeing 777-300
2025-05-13,1,10,John Burgess-Webb,"Not Verified | We took 4 Air France flights in the space of 10 days. Buenos Aires to Paris CDG, delayed 3 and half hours. Once onboard, they announced there would be no coffee or tea because there was no hot water (for some reason). Upon arrival at CDG, there was little to no communication with respect to getting our hotel vouchers (as we had missed our connecting flight to London, and a night with my brother). We, my fourteen-year-old son and I; got to the airport hotel at 1130pm (we should have arrived at Heathrow at 9pm) and had to be on the new connecting flight to London at 7 am. So about 4 hours sleep. Once on the connecting flight, they announced that there was a problem with the electronics so we would be delayed as they tried to fix it. It didn't work. So they reset it or some such and we finally took off ater sitting onboard for roughly 2 hours. All for the 40-minute flight to London. Fastforward, on the return flight from Paris to Buenos Aires, we boarded on time, at about 12:40 pm for a 13:10 take-off time. We had not had lunch. We were informed at about 1 pm that the flight would be delayed as there was a mechanical issue and they were checking if we could fly anyway. Time passed. Now there was an announcement that they needed to get a spare part and install it before we could take off. It would be another hour. That was at 2:40 pm, already an hour an a half after scheduled takeoff. No water or snacks had been offered. I complained and got a few cereal bars for my son and me, handed to me surreptitiously by a kind attendant who whispered ""we don't have snacks for everyone"". We took off at 3:40, 3 hours after we had boarded the plane. We were given a tasty lunch about an hour later. Then, 11 hours later, we were given a hardbread mishmash breakfast. There was no dinner although the flight was from (theoretically) 1:10 pm until 2am the next day. 11 hours with no food service, during daytime hours. I will avoid Air France like the plage on future trips.",Family Leisure,Economy Class,Paris to Buenos Aires,May 2025,4.0,2.0,1.0,3.0,1.0,3.0,1,No,
2025-05-02,9,10,K Marden,"✅ Trip Verified |   Air France is picking up its game. I have to admit the latest A350 is great. The only downfall was boarding. They line you up and start boarding process, but leave you hanging in the hall, which was bright and sunny and extremely hot. The biz pax were waiting in the tube for about 20 minutes, the boarding process was a complete mess and no explanation was given by the staff at the boarding game. Fortunately that was the end of the bad news. The inside was nice. Seat clean and it has new shadow windows, seat back entertainment with USB A/C and smart holder for ipads / iphones on top of drink tray etc. Bluetooth headphone connectivity. Seat cushion is slightly hard, so my tail bone is sore, but I find that with most of the airlines nowdays. The plane looks good. Its bathroomns are a bit run down - and dirty - AF crew should be checking in more often, but otherwise I cannot find fault. Food was delicious even in economy. Staff was actually quite nice. I can tell they have stepped up their game from last year. I still think you should monitor your employees at CDG - it's your weakest link.",Solo Leisure,Economy Class,Turin to Dallas via Paris,May 2025,2.0,5.0,5.0,5.0,3.0,,4,Yes,A350
2025-04-30,1,10,Tracy Aleksic,"Not Verified | I am in Casablanca. I've been here since 5am and my flight has been rescheduled 3x. They have a 6Euro breakfast voucher which was a bottle of water and a croissant with a coffee. From the staff there was poor communication, glaring, and attitude. Worst airline, worst airport. I'm offended, tired, and frustrated. We've been standing in line for 45 minutes waiting to Board.",Business,Economy Class,Casablanca to Paris,April 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,No,
2025-04-26,10,10,Steve Pilibbossian,"✅ Trip Verified |   Air France does business class very well. Other than the economy style seats for business class flights within Europe, the rest of the business class experience is top notch. Incredible service, great food and drinks offered for a short flight and a fabulous airline lounge in CDG Terminal 2F. Airport staff at both CDG and MRS airports were professional and courteous during the Sky Priority check-in areas. Highly recommend flying business class with AF.",Couple Leisure,Business Class,Paris to Marseille,April 2025,5.0,5.0,5.0,5.0,5.0,5.0,5,Yes,A320-200
2025-04-19,10,10,A Galene,"✅ Trip Verified |   Great service on a full flight. Although the flight was short (45 minutes in the air), the cabin crew served a (free) sandwich (Mediterranean vegetable flavour) and a choice of drink. This is more than their main competitor provides on this route. The crew was cheerful and friendly and carried out their duties efficiently. I was pleased to see they enforced their own safety rules- asking people to disconnect USB cables during take-off and landing (as it would be a trip hazard in an emergency). Despite taking off late from Heathrow (partly due to slow boarding as there was too much hand luggage in the cabin, and partly airport traffic congestion), we still arrived on time in Paris. Based on this experience, I would be willing to fly Air France again and perhaps transit through Paris to long haul destinations.",Solo Leisure,Economy Class,London  to Paris,April 2025,4.0,5.0,5.0,,3.0,,5,Yes,A320-300
2025-04-07,5,10,Volodymyr Bilotkach,"✅ Trip Verified |   ORD-CDG economy return. Flight to CDG was uneventful. Flight back was cancelled, I was rerouted via JFK on DL. The issues started when I requested flight cancellation compensation, as per EU law. I submitted my US bank account details, and AF told me that they tried to transfer the money, but the transfer was ""rejected"". Did not respond when I asked for details. I do not buy this. Now they promised to send the money to my daughter's account in the UK. Hopefully this will work.",Solo Leisure,Economy Class,Paris to Chicago,February 2025,3.0,4.0,3.0,3.0,3.0,,3,No,A350
2025-03-28,10,10,N Haynes,✅ Trip Verified |   My son was travelling on Kids Solo as an unaccompanied Minor with a 1h40 stop over in Paris. The departure from Dublin was delayed by 1 hour. The agents Mustafa and Laura at the check in counter went out of their way to arrange a new flight with KLM arriving half an hour earlier than the original flight. They were extremely helpful and understanding. We were very impressed with their professional approach and excellent customer service.,Family Leisure,Economy Class,Dublin to Singapore,March 2025,,,,,5.0,,5,Yes,
2025-03-16,1,10,Emad Zaki,"✅ Trip Verified |   My flight was canceled last minute, causing major disruptions to my travel plans. Instead of taking responsibility, Air France has been giving me the runaround for compensation that I am entitled to. Their customer service is a complete joke, long wait times, dismissive agents, and endless excuses. After weeks of back-and-forth, they continue to deny compensation with vague, copy-paste responses. It’s clear they have no intention of following the law or treating customers fairly. This airline has absolutely no respect for its passengers, they take your money and then leave you stranded when things go wrong. I will never fly Air France again.",Solo Leisure,Economy Class,Cairo to Los Angeles via Paris,January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,No,
2025-03-13,1,10,Nicholas Pilkington,"Not Verified | Air France is without any doubt one of the worst airlines you possibly choose. I've flown with them once and I'll never fly with Air France again. The in-flight food was atrocious, considering that the French brag about their cuisine the food was appalling. The service on the flight was terrible, the cabin crew tried their very hardest to ignore you as much as possible. I booked a premium economy ticket and the was expecting a comfortable flight. The reclining function was broken and the seat was extremely uncomfortable. I was offered a £50 voucher for the inconvenience. I find their ""goodwill offer"" of a voucher to be quite unbelievable and the audacity they have to think that I'd ever fly with them again. So in retaliation for their abysmally poor service I'll take it upon myself to inform as many people as possible about their terrible airline.",Solo Leisure,Premium Economy,Bangkok to Paris,February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1,No,Boeing Skyliner
2025-03-03,4,10,Robert Watson,✅ Trip Verified |   The onboard service was lacklustre and there were long intervals between service. Food took 4 hours to serve after take off. Fish dish was dried out. Crew took long time to respond to call button when they missed servings and sometimes did not respond at all. No seat cover provided which would have improved seat comfort. Bizarre provision of slippers too small for anyone with size 8+. Tedious experience generally.,Solo Leisure,Business Class,Bangkok to Paris,February 2025,3.0,1.0,2.0,3.0,3.0,,2,No,Boeing 777-300
2025-02-24,10,10,Andrew Hall,"Not Verified |  I flew with Air France from Vancouver to CDG, onward to Seville on Feb 7/8, and then return Madrid to Vancouver via CDG / Paris on Feb 23rd. Air France is now my definite top choice for Canada to Europe. Their business class way exceeds Air Canada, Turkish, and any other European carrier. I’ve done around 4 trips, almost all in business. Their food & wine quality is restaurant quality, very inventive & extremely good. On my Vancouver to Paris Feb 7th flight, Agnes was my main flight attendant. Her service was impeccable. Similarly my return flight Paris to Vancouver was also very good, flight attendants all excellent, focused & with very high levels of service. The A350 is a beautiful cabin. I got to sit in 1A coming back, and that felt like a first class seat, with extra room at bulk head pod & sliding door. I love how Air France sets up a little refreshment area during rest times. I’m Star Alliance generally, but for Europe, an Air France convert. Take note Lufthansa, you have a long way to catch up, and although I’ve had kind attendants and service on AC biz class, the food & wine quality does not compare to Air France, Merci beaucoup, Air France, and mademoiselle Agnes for her kindness on my flight over, and for the wonderful service I received. Their lounges are a bit crowded, but the quality is very good and again for food/drink, showers, rest areas. What a wonderful experience, I hope to fly again with them soon!!!",Solo Leisure,Business Class,Vancouver to Seville via Paris,February 2025,5.0,5.0,5.0,4.0,4.0,3.0,5,Yes,A350
2025-02-18,7,10,Michael Powell,Not Verified |  Check in at Libreville was chaotic. Eventually someone pointed out that the Business Class check in was hidden elsewhere in the airport. The incoming aircraft was late and therefore the departure was delayed. On boarding I discovered that my assigned seat was non-existent and that I had been assigned a different seat. The seat was not that wide and rather uncomfortable at the lie flat position. Not a great experience. The second leg CDG - LHR I have no complaints about.,Solo Leisure,Business Class,Libreville to London via Paris,February 2025,2.0,4.0,4.0,3.0,3.0,,4,Yes,
2025-02-18,1,10,Andrew H Neal,"✅ Trip Verified | As a producer for Discovery Channel documentaries, where scheduling is as tight as budgets, I depend heavily on airlines to uphold their schedules. Unfortunately, my recent experience with Air France was nothing short of a disaster, showcasing a complete breakdown in both service and accountability. Our flight from LHR to CDG to SXM on January 10th started with arriving at LHR at the early hour of 3:15 AM for a 6:20 AM departure. The check-in process did not commence until 4:00 AM, and from then until 5:45 AM, absolutely nothing progressed. The Air France staff were visibly present but unhelpful, offering no explanations for the delay nor managing the growing line of anxious passengers. Despite multiple inquiries, the only information provided was about a computer malfunction. No alternative solutions were offered. Check-ins were eventually processed manually using cell phones, which was inefficient and caused significant delays. Our flight, as a result, left over five hours late. Due to the initial delay, we were forced to find and book an alternate flight to reach our destination, which was essential to keep our production on track. This not only added stress but also financial strain to our tightly budgeted project. On our return trip, Air France added insult to injury by charging us an additional 1,000 euros due to the missed original flight, blaming us for a problem they created. The return flight was no better, with a detour for refueling and another delay in Paris before finally arriving late in London. Throughout this ordeal, not once did any Air France representative offer a genuine apology or a practical solution, effectively stranding us without care. After these multiple failures, seeking compensation or even an acknowledgment of the inconvenience from Air France has been an uphill battle. The lack of empathy and assistance from their customer service is appalling, with representatives implying that the fault was ours for not tolerating their inefficiency. This experience has been a sobering reminder of how a company should not operate. Air France’s disregard for customer service and basic accountability has not only resulted in financial losses for our production but also an incredible waste of time and energy. I strongly advise against booking with Air France if your travel plans require reliability and professional service.",Business,Economy Class,London to St Martin via Paris,January 2025,1.0,1.0,,,1.0,,1,No,?
2025-02-08,3,10,Robert Watson,✅ Trip Verified |   The Paris lounge was dirty. Onboard discovered my seat controls did not respond and seat could not be moved. Initially flight attendant's solution was to manually move it into the position I wanted for the flight and initially claimed no other seat was available. When I said I expected to either be moved or refunded in full my upgrade cost if the seat could not be fixed the two cabin crew looked indignant as if I had suggested something outrageous. In the end they fixed the seat and found another seat. Throughout the flight no attendants responded to the call button. This was needed a few times as they forgot various parts of the menu like the dessert. There were long wait times for anything. It was obvious AF don't crew the plane sufficiently. Most of the time I got out of my seat and walked to the galley if wanted something. I found the entire experience to be underwhelming and the crews couldn't careless attitude unacceptable. It seems pointless for AF to invest in a new cabin if they do not deploy sufficient staff on board or those with the appropriate skill set and temperament. Some of the food presentations were absurd.,Solo Leisure,Business Class,Paris to Bangkok,January 2025,3.0,1.0,2.0,3.0,1.0,,2,No,Boeing 777-300 ER
